2022-08-18+02:00 18:28:36
SRC_ADDR             | DST_ADDR             | SRC_PORT        | DST_PORT        | Total_Bytes     | Start_ts                       | End_ts                         | Protocol                      
10.0.2.15            | 192.168.1.1          | 46988           | 53              | 94              | 1660839833.976474              | 1660839833.976474              | UDP                            
10.0.2.15            | 192.168.1.1          | 34947           | 53              | 205             | 1660839984.057990              | 1660839984.072793              | UDP                            
10.0.2.15            | 192.168.1.1          | 59985           | 53              | 98              | 1660839922.578030              | 1660839922.578030              | UDP                            
192.168.1.1          | 10.0.2.15            | 53              | 45454           | 101             | 1660839952.920337              | 1660839952.920337              | UDP                            
140.82.121.4         | 10.0.2.15            | 443             | 38912           | 79201           | 1660839831.278066              | 1660840006.374128              | TCP                            
10.0.2.15            | 31.13.86.36          | 53707           | 443             | 4098            | 1660839922.577347              | 1660839922.744565              | UDP                            
10.0.2.15            | 192.168.1.1          | 59355           | 53              | 94              | 1660839833.714613              | 1660839833.714613              | UDP                            
10.0.2.15            | 35.164.183.116       | 60046           | 443             | 288             | 1660840044.381882              | 1660840047.664987              | TCP                            
192.168.1.1          | 10.0.2.15            | 53              | 50360           | 94              | 1660839833.802645              | 1660839833.802645              | UDP                            
10.0.2.15            | 192.168.1.1          | 40944           | 53              | 94              | 1660839833.774372              | 1660839833.774372              | UDP                            
10.0.2.15            | 192.168.1.1          | 43085           | 53              | 94              | 1660839833.665154              | 1660839833.665154              | UDP                            
192.168.1.1          | 10.0.2.15            | 53              | 41358           | 114             | 1660839829.326316              | 1660839829.326316              | UDP                            
10.0.2.15            | 192.168.1.1          | 48432           | 53              | 94              | 1660839833.674571              | 1660839833.674571              | UDP                            
10.0.2.15            | 192.168.1.1          | 35054           | 53              | 94              | 1660839833.806456              | 1660839833.806456              | UDP                            
10.0.2.15            | 192.168.1.1          | 57154           | 53              | 94              | 1660839833.944166              | 1660839833.944166              | UDP                            
192.168.1.1          | 10.0.2.15            | 53              | 39258           | 148             | 1660839879.175884              | 1660839879.175884              | UDP                            
192.168.1.1          | 10.0.2.15            | 53              | 46988           | 94              | 1660839833.985999              | 1660839833.985999              | UDP                            
10.0.2.15            | 192.168.1.1          | 54489           | 53              | 94              | 1660839833.733768              | 1660839833.733768              | UDP                            
192.168.1.1          | 10.0.2.15            | 53              | 43821           | 100             | 1660839984.051080              | 1660839984.051080              | UDP                            
10.0.2.15            | 140.82.121.6         | 60500           | 443             | 28921           | 1660839835.640331              | 1660840008.372669              | TCP                            
10.0.2.15            | 192.168.1.1          | 49953           | 53              | 97              | 1660839831.878532              | 1660839831.878532              | UDP                            
142.250.180.132      | 10.0.2.15            | 443             | 54741           | 4575            | 1660840072.968169              | 1660840073.077022              | UDP                            
10.0.2.15            | 52.168.112.66        | 46806           | 443             | 298695          | 1660839823.959029              | 1660840103.269238              | TCP                            
192.168.1.1          | 10.0.2.15            | 53              | 49231           | 94              | 1660839833.654456              | 1660839833.654456              | UDP                            
142.250.180.132      | 10.0.2.15            | 443             | 57635           | 4572            | 1660839952.951069              | 1660839953.044999              | UDP                            
