2022-09-07+02:00 20:25:16
SRC_ADDR                  | DST_ADDR                  | SRC_PORT        | DST_PORT        | TOTAL_BYTES     | START_TIMESTAMP                | END_TIMESTAMP                  | PROTOCOL  
192.168.1.1               | 10.0.2.15                 | 53              | 52382           | 81              | 1662574619.738240              | 1662574619.738240              | UDP                            
192.168.1.1               | 10.0.2.15                 | 53              | 36236           | 189             | 1662574619.754439              | 1662574619.754439              | UDP                            
10.0.2.15                 | 142.250.180.130           | 51977           | 443             | 4540            | 1662574625.486491              | 1662574647.100512              | UDP                            
10.0.2.15                 | 192.168.1.1               | 47989           | 53              | 78              | 1662574589.038467              | 1662574589.038467              | UDP                            
192.168.1.1               | 10.0.2.15                 | 53              | 35568           | 94              | 1662574615.351958              | 1662574615.351958              | UDP                            
140.82.112.26             | 10.0.2.15                 | 443             | 41536           | 4675            | 1662574647.571584              | 1662574767.816238              | TCP                            
10.0.2.15                 | 140.82.112.26             | 41536           | 443             | 3097            | 1662574647.466597              | 1662574767.815413              | TCP                            
10.0.2.15                 | 192.168.1.1               | 54785           | 53              | 94              | 1662574615.279440              | 1662574615.279440              | UDP                            
10.0.2.15                 | 192.168.1.1               | 35524           | 53              | 85              | 1662574621.924629              | 1662574621.924629              | UDP                            
10.0.2.15                 | 20.189.173.14             | 54710           | 443             | 4619            | 1662574731.364310              | 1662574732.118521              | TCP                            
192.168.1.1               | 10.0.2.15                 | 53              | 37985           | 132             | 1662574772.605653              | 1662574772.605653              | UDP                            
104.208.16.90             | 10.0.2.15                 | 443             | 47092           | 6335            | 1662574776.844798              | 1662574777.374795              | TCP                            
10.0.2.15                 | 192.168.1.1               | 40263           | 53              | 96              | 1662574634.580437              | 1662574634.580437              | UDP                            
10.0.2.15                 | 192.168.1.1               | 41019           | 53              | 87              | 1662574635.634238              | 1662574635.634238              | UDP                            
10.0.2.15                 | 192.168.1.1               | 46801           | 53              | 94              | 1662574642.910186              | 1662574642.910186              | UDP                            
192.168.1.1               | 10.0.2.15                 | 53              | 49813           | 94              | 1662574646.843360              | 1662574646.843360              | UDP                            
192.168.1.1               | 10.0.2.15                 | 53              | 55471           | 148             | 1662574614.098657              | 1662574614.098657              | UDP                            
10.0.2.15                 | 192.168.1.1               | 52382           | 53              | 81              | 1662574619.691802              | 1662574619.691802              | UDP                            
10.0.2.15                 | 192.168.1.1               | 52260           | 53              | 84              | 1662574622.354886              | 1662574622.354886              | UDP                            
31.13.86.4                | 10.0.2.15                 | 443             | 46276           | 3778            | 1662574636.819037              | 1662574637.054364              | TCP                            
192.168.1.1               | 10.0.2.15                 | 53              | 46801           | 94              | 1662574642.920872              | 1662574642.920872              | UDP                            
10.0.2.15                 | 192.168.1.1               | 59231           | 53              | 94              | 1662574643.066346              | 1662574643.066346              | UDP                            
192.168.1.1               | 10.0.2.15                 | 53              | 60187           | 238             | 1662574763.364340              | 1662574763.364340              | UDP                            
10.0.2.15                 | 192.168.1.1               | 54221           | 53              | 94              | 1662574613.722721              | 1662574613.722721              | UDP                            
10.0.2.15                 | 93.184.220.29             | 58166           | 80              | 1360            | 1662574635.726481              | 1662574751.817117              | TCP                            
10.0.2.15                 | 192.168.1.1               | 55471           | 53              | 100             | 1662574614.086822              | 1662574614.086822              | UDP                            
140.82.114.26             | 10.0.2.15                 | 443             | 46704           | 531             | 1662574614.946799              | 1662574616.277245              | TCP                            
10.0.2.15                 | 34.120.208.123            | 53100           | 443             | 7761            | 1662574616.319806              | 1662574754.474674              | TCP                            
192.168.1.1               | 10.0.2.15                 | 53              | 53638           | 81              | 1662574634.580055              | 1662574634.580055              | UDP                            
31.13.86.4                | 10.0.2.15                 | 443             | 46272           | 3779            | 1662574636.818194              | 1662574637.054651              | TCP                            
10.0.2.15                 | 192.168.1.1               | 40075           | 53              | 94              | 1662574642.983665              | 1662574642.983665              | UDP                            
10.0.2.15                 | 192.168.1.1               | 55858           | 53              | 94              | 1662574642.807621              | 1662574642.807621              | UDP                            
192.168.1.1               | 10.0.2.15                 | 53              | 38959           | 94              | 1662574646.832594              | 1662574646.832594              | UDP                            
192.168.1.1               | 10.0.2.15                 | 53              | 50404           | 100             | 1662574735.323632              | 1662574735.323632              | UDP                            
192.168.1.1               | 10.0.2.15                 | 53              | 40661           | 129             | 1662574747.460161              | 1662574747.460161              | UDP                            
20.189.173.14             | 10.0.2.15                 | 443             | 54716           | 6577            | 1662574751.292420              | 1662574751.993166              | TCP                            
192.168.1.1               | 10.0.2.15                 | 53              | 53163           | 129             | 1662574758.246602              | 1662574758.246602              | UDP                            
192.168.1.1               | 10.0.2.15                 | 53              | 59231           | 94              | 1662574643.071438              | 1662574643.071438              | UDP                            
10.0.2.15                 | 192.168.1.1               | 36778           | 53              | 90              | 1662574636.390151              | 1662574636.390151              | UDP                            
192.168.1.1               | 10.0.2.15                 | 53              | 44092           | 94              | 1662574615.441371              | 1662574615.441371              | UDP                            
10.0.2.15                 | 192.168.1.1               | 50999           | 53              | 113             | 1662574717.372370              | 1662574717.372370              | UDP                            
